Document ID,Number,Content
WCPFC1,1,"The first session of the Commission for the Conservation and Management of Highly Migratory Fish Stocks in the Western and Central Pacific took place on 9 and 10 December 2004 at Pohnpei, Federated States of Micronesia. The session was opened by His Excellency President Joseph J. Urusemal, President of the Federated States of Micronesia."
WCPFC1,2,"The following attended the session as members of the Commission and participating territories: Australia, China, Cook Islands, Fiji, Federated States of Micronesia, Kiribati, Republic of Korea, Marshall Islands, Nauru, New Zealand, Niue, Papua New Guinea, Samoa, Solomon Islands, Chinese Taipei, Tokelau, Tonga and Tuvalu."
WCPFC1,3,"Canada, European Community, France, French Polynesia, Indonesia, Japan, New Caledonia, Palau, Philippines, United States of America, Vanuatu and Wallis and Futuna attended as observers. The Commission extended observer status to the following regional and international intergovernmental organizations that had attended sessions of the Preparatory Conference in that capacity: South Pacific Forum Fisheries Agency (FFA), the Food and Agriculture Organization of the United Nations (FAO), the Forum Secretariat, the Inter-American Tropical Tuna Organization (IATTC), the Pacific Community (PC), the South Pacific Regional Environment Programme (SPREP), and the University of the South Pacific (USP)."
WCPFC1,4,The Commission adopted the agenda contained in WCPFC/Comm.1/1/Rev.1.  Election of Officers
WCPFC1,5,Mr Glenn Hurry (Australia) was elected as Chairman of the Commission. Mr Liu Xiaobing (China) was elected as Vice-chairman.   Membership
WCPFC1,6,"The Commission noted the status of the Convention as at November 2004. In response to a request by the European Community, the Contracting Parties decided to invite the European Community to accede to the Convention."
WCPFC1,7,The Commission decided to invite the Russian Federation to participate as an observer. The Commission also decided to grant observer status to the following non-governmental organizations: Greenpeace and the International Game Fishing Association.  - 2 - Final Report of the Preparatory Conference
WCPFC1,8,"The Chairman of the Preparatory Conference, Michael Powles (New Zealand) presented the final report of the Preparatory Conference on all matters within its mandate (WCPFC/PrepCon/48, Volumes I – IV). The Commission received the report with appreciation.  Rules of Procedure"
WCPFC1,9,"The Commission adopted its rules of procedure as contained in WCPFC/Comm.1/2, annex. With respect to the rules of procedure for the Scientific Committee and the Technical and Compliance Committee, the Commission noted that rule 31 of the rules of procedure provided for the application of the rules of procedure of the Commission to those bodies, mutatis mutandis, until such time as each subsidiary body has formulated such rules as may be necessary for the efficient conduct of its meetings."
WCPFC1,10,"The Commission decided to defer the question of the establishment of the northern committee, noting that the potential members of the committee, including those which had not yet become members of the Commission, would consult on the matter.  Location of the headquarters of the Commission"
WCPFC1,11,"The Commission adopted the recommendation of the Preparatory Conference that the headquarters of the Commission shall be in Pohnpei, Federated States of Micronesia.  Establishment of the Secretariat"
WCPFC1,12,"With respect to the appointment of an Executive Director of the Commission, the Contracting Parties decided that, in accordance with the recommendation of an interview panel chaired by the Chairman of the Preparatory Conference (WCPFC/PrepCon/49), the preferred candidate for the position would be Mr. Michael Lodge."
WCPFC1,13,"The Commission decided to authorize the Chairman, with the assistance of the representatives of China, Papua New Guinea and Samoa, to develop an appropriate remuneration package in accordance with the recommendations developed by Working Group I of the Preparatory Conference and to negotiate a contract of employment with the preferred candidate for the position of Executive Director."
WCPFC1,14,"The Commission decided to defer consideration of the terms of service for the staff of the Commission and the Staff Regulations until such time as the incoming Executive Director was able to draw up detailed proposals for consideration, taking into account the guidance on these matters developed by Working Group I of the Preparatory Conference.  Budget and finance"
WCPFC1,15,"The Commission adopted the budget of the Commission for the financial period 1 January 2005 to 31 December 2005 in the sum of US$975,000. The decision of the Commission on the budget and related matters is at Annex I. In adopting the schedule of contributions it was noted that the Commission Secretariat would need to further refine the background data and information used as the source for calculating the various elements of the formula for assessed contributions. It was also recommended that there be greater transparency in the costing of external services in future."
WCPFC1,16,"It was noted that, as recommended by the Preparatory Conference, the Preparatory Conference Organizational Fund would be wound up by 31 January 2005. A final report on the Fund, including an auditor’s statement, would be circulated to all Preparatory Conference participants as - 3 - soon as possible thereafter. The balance remaining in the Fund would be transferred to the working capital fund of the Commission."
WCPFC1,17,The Commission adopted the Financial Regulations contained in WCPFC/Comm.1/3.  Science issues
WCPFC1,18,"The Commission took note of the report of the third meeting of the Scientific Coordinating Group (WCPFC/PrepCon/41 and Corr.1) and expressed its appreciation to the Chairman of the SCG, Dr Yuji Uozumi (Japan) for his work."
WCPFC1,19,The Commission convened as the Scientific Committee of the Commission. Mr. Glenn Hurry presided as Chairman pro tem. The Scientific Committee decided to elect Dr. Sung Kwon Soh (Korea) as Chairman of the Scientific Committee. It was decided to defer the question of selection of other officers of the Committee. The Committee noted with appreciation the offer of the delegation of New Zealand to continue to provide the services of a scientific advisor to the Commission pending the establishment of Secretariat capacity.  Technical and compliance issues
WCPFC1,20,The Commission adopted the procedures for its record of fishing vessels and authorizations to fish as contained in Annex I of WCPFC/PrepCon/46*. The Commission also adopted the specifications for the marking and identification of fishing vessels as set out in WCPFC/PrepCon/47.
WCPFC1,21,"The Commission further adopted the procedures for Cooperating non-members contained in Annex II of WCPFC/PrepCon/46*. It decided to designate each of the following States which participated in the Multilateral High-Level Conference and the Preparatory Conference as a Cooperating non-member until such time as it becomes a member of the Commission or until the end of the Commission’s next regular annual session, whichever is the earlier: Canada, France, Indonesia, Japan, Palau, Philippines, United States of America and Vanuatu. Each of these States shall formally advise the Commission that it undertakes to comply with the obligations listed in paragraph 3 of the procedures for Cooperating non-members."
