,document,number,content,meeting,topic_four,original label,meeting_number
text1,WCPFC3-2006-OP02,1,seabird bycatch mitigation measures in pelagic fisheries birdlife international,WCPFC3,bycatch,bycatch,3
text2,WCPFC3-2006-OP02,2,on 14 october 2006 a workshop was held to prioritise research needed to address seabird bycatch mitigation in pelagic longline fisheries in addition the workshop participants shared knowledge on known and potential seabird bycatch mitigation measures in pelagic fisheries examining the effectiveness of measures on both surfaceforaging and diving seabirds and their practicality and safety when used on fishing vessels the workshop was organised by washington sea grant university of washington and was staged in hobart to take advantage of experts present for the annual meeting of the ad hoc working group on incidental mortality arising from fishing imaf of the commission for the conservation of antarctic marine living resources ccamlr,WCPFC3,bycatch,bycatch,3
text3,WCPFC3-2006-OP02,3,recognising the intention of the wcpfc to discuss seabird bycatch mitigation measures in december and the seabird mitigation recommendation drafted by the 2006 meeting of the wcpfc scientific committee this document summarises knowledge shared at the meeting the attached table discusses strengths and weaknesses of each mitigation measure the need for combinations of measures and current data gaps table 1 a full copy of the workshop report is available at wwwwsgwashingtonedu,WCPFC3,bycatch,bycatch,3
text4,WCPFC3-2006-OP02,5,the seabird recommendation from the wcpfc scientific committee in august 2006 would be a highly constructive step to reduce seabird bycatch in the wcpfc area,WCPFC3,bycatch,bycatch,3
text5,WCPFC3-2006-OP02,6,with the exception of bait casters the mitigation measures listed are a good depiction of measures believed to reduce seabird bycatch in pelagic fisheries however caveats are associated with most measures this reiterates the point made at the wcpfc ecosystem bycatch meeting on the need to use combinations of measures all fisheries in which seabird bycatch mitigation has been successful have found that combinations of measures are essential as stated at the wcpfc ecosystem bycatch meeting the strength of the column a and column b approach is that it requires such combinations while also providing flexibility to select the combination most suited to their vessel,WCPFC3,bycatch,bycatch,3
text6,WCPFC3-2006-OP02,7,streamer lines night setting and weighted branch lines can be highly effective mitigation measures when used properly and in combination sidesetting has been found effective in hawaiian fisheries when combined with line weighting and a setting curtain however research is urgently needed to test the effectiveness of sidesetting in the southern ocean where deeperdiving seabird species are common further testing is also recommended on the effectiveness of bluedyed squid in the southern ocean on the effectiveness of lineshooters and on best practises for offal management a plan for research developed across pelagic fishery rfmos would provide the necessary tools to reduce seabird mortality in pelagic fisheries worldwide as noted at the 2006 wcpfc scientific committee meeting the recommendations on seabird mitigation measures should be considered as interim measures will need to be reevaluated as more information becomes available through research,WCPFC3,bycatch,bycatch,3
text7,WCPFC3-2006-OP02,8,recommendation to the third meeting of the wcpfc a seabird conservation measure based on the recommendation from the wcpfc scientific committee would be a highly constructive step to reduce seabird bycatch in the wcpfc area the strength of the recommendation lies in its requirement for the use of two mitigation measures providing the necessary use of a combination of measures while also providing flexibility for fishermen to select the combination most suited to their vessel table 1 review of seabird bycatch mitigation measures listed in the seabird recommendation from the wcpfc scientific committee column a scientific evidence for effectiveness in pelagic fisheries caveats notes need for combination research needs minimum standards night setting duckworth 1995 brothers et al 1999 gales et al klaer polacheck brothers et al 1999 mcnamara et al 1999 gilman et al 2005 baker wise 2005 less effective during full moon under intensive deck lighting or in high latitude fisheries in summer less effective on nocturnal foragers eg white chinned petrels brothers et al cherel et al 1996 recommend combination with tori lines andor weighted branch lines data on current time of sets by wcpfc fisheries effect of night sets on target catch for different fisheries night defined as nautical dark to nautical dawn side setting brothers gilman 2006 yokota kiyota 2006 only effective if hooks are sufficiently below the surface by the time they reach the stern of the vessel in hawaii sidesetting trials were conducted with bird curtain and 4560g weighted swivels placed within 05m of hooks japanese research concludes must be used with other measures yokota kiyota 2006 must be combined with other measures successful hawaii trials use bird curtain plus weighted branch lines in southern hemisphere strongly recommend use wth tori lines until sidesetting is tested in the region currently untested in the southern ocean against seabird assemblages with diving seabirds and albatrosses urgent need for research in japan nrifsf will continue testing in 2007 in hawaii side setting is used in conjunction with a bird curtain and 45 weighted swivel within 1m of the baited hook single tori line imber 1994 uozomi takeuchi 1998 brothers et al 1999 klaer polacheck mcnamara et al boggs 2001 ccamlr 2002 minami kiyota 2004 melvin 2003 effective only when streamers are positioned over sinking baits in pelagic fisheries baited hooks are unlikely to sink beyond the diving depths of diving seabirds within the 150m zone of the tori line unless combined with other measures such as line weighting or underwater setting entanglement with fishing gear can lead to poor compliance by fishers and design issues need to be addressed in crosswinds tori line must be deployed from the windward side to be effective effectiveness increased when combined with other measures eg weighted branch lines andor night setting optimal design for pelagic fisheries still under development refine to minimise tangling optimise aerial extent and positioning and ease haulingretrieval current research by ed melvin washington sea grant also program for small vessels by global guardian trust in japan controlled studies demonstrating their effectiveness in pelagic fisheries remain very limited current minimum standards for pelagic fisheries are based on ccamlr conservation measure 2502,WCPFC3,bycatch,bycatch,3
text8,WCPFC3-2006-OP02,9,table 1 continued column b scientific evidence for effectiveness in pelagic fisheries caveats notes need for combination research needs minimum standards paired tori line two streamer lines best in crosswinds to maximise protection of baited hooks melvin et al 2004 potentially increased likelihood of entanglement see above development of a towed device that keeps gear from crossing surface gear essential to improve adoption and compliance effectiveness will be increased when combined with other measures recommend use with weighted branch lines andor night setting development and trialling of paired streamer line systems for pelagic fisheries weighted branch lines brothers 1991 boggs 2001 sakai et al 2001 brothers et al 2001 anderson mcardle 2002 gilman et al 2003a robertson 2003 lokkeborg robertson hu et al 2005 supplementary measure weights will shorten but not eliminate the zone behind the vessel in which birds can be caught even in demersal fisheries where weights are much heavier weights must be combined with other mitigation measures eg ccamlr conservation measure 02 must be combined with other measures eg tori lines andor night setting weight and position of weight both affect sink rate further research on weighting regimes needed safety issues and effect on target catch must be considered research on use of integratedweight branch lines in pelagic fisheries also needs further exploration global minimum standards not yet established requirements vary by fishery and vessel hawaii minimum requirements are g less than 1 m from hook australia requires 60 or 90g located 35 or 4 m from the hook respectively blue dyed bait boggs 2001 brothers 1991 gilman et al 2003a minami kiyota 2001 minami kiyota 2004 lydon starr 2005 double and cocking in press new data suggests only effective with squid bait double cocking onboard dyeing requires labour and is difficult under stormy conditions results inconsistent across studies must be combined with tori lines or night setting need for tests in southern ocean mix to standardized colour placard or specify eg use brilliant blue food dye colour index 42090 also known as food additive number e133 mixed at 5 for a minimum of 20 minutes line shooter reduced bycatch of northern fulmar in trials of mitigation measures in north sea lokkeborg robertson 2002 lokkeborg increased seabird bycatch in alaska melvin et al 2001 supplementary measure no published data for pelagic fisheries may enhance hook sink rates in some situations but will not eliminate the zone behind the vessel in which birds can be caught more data needed found ineffective in trials in north pacific demersal longline fishery melvin et al 2001 must be combined with other measures such as night setting andor tori lines or weighted branch lines data needed for pelagic fisheries not established,WCPFC3,bycatch,bycatch,3
text9,WCPFC3-2006-OP02,10,table 1 continued column b scientific evidence for effectiveness in pelagic fisheries caveats notes need for combination research needs minimum standards bait caster duckworth 1995 klaer polacheck 1998 not a mitigation measure unless casting machines are available with the capability to control the distance at which baits are cast this is necessary to allow accurate delivery of baits under a tori line needs more development few commercially available machines have this capability not recommended as a mitigation measure underwater setting chute brothers 1991 boggs 2001 gilman et al 2003a gilman et al 2003b sakai et al lawrence et al 2006 for pelagic fisheries existing equipment not yet sturdy enough for large vessels in rough seas problems with malfunctions and performance inconsistent eg gilman et al 2003a and australian trials cited in baker wise 2005 not recommended for general application design problems to overcome not yet established management of offal discharge mcnamara et al 1999 cherel et al 1996 supplementary measure may reduce the number of birds attracted to the vessel and strategic discharge can be used to distract birds effectiveness in pelagic fisheries is not well established there may be storage space constraints on smaller vessels must be combined with other measures further information needed on effects in pelagic fisheries long and short term not yet established for pelagic fisheries in ccamlr demersal fisheries discharge of offal is prohibited during line setting during line hauling storage of waste is encouraged and if discharged must be discharged on the opposite side of the vessel to the hauling bay thawing bait brothers 1991 duckworth klaer polacheck brothers et al 1999 supplementary measure must be combined with other measures if lines are set early morning full thawing of all bait may create practical difficulties,WCPFC3,bycatch,bycatch,3
text10,WCPFC3-2006-OP02,11,references anderson s and mcardle b 2002 sink rate of baited hooks during deployment of a pelagic longline from a new zealand fishing vessel new zealand journal of marine and freshwater research 36 185195 baker g b and wise b s 2005 the impact of pelagic longline fishing on the fleshfooted shearwater puffinus carneipes in eastern australia biological conservation 126306 316 boggs ch 2001 deterring albatrosses from contacting baits during swordfish longline sets in melvin e parrish jk eds seabird bycatch trends roadblocks and solutions university of alaska sea grant fairbanks alaska pp 7994 brothers n and gilman e 2006 technical assistance for hawaiibased pelagic longline vessels to modify deck design and fishing practices to side set prepared for the national marine fisheries service pacific islands regional office blue ocean institute september 2006 brothers n p 1991 approaches to reducing albatross mortality and associated bait loss in the japanese longline fishery biological conservation 55 255268 brothers n gales r and reid t 1999 the influence of environmental variables and mitigation measures on seabird catch rates in the japanese tuna longline fishery within the australian fishing zone 19911995 biological conservation 8885101 brothers n gales r reid t 2001 the effect of line weighting on the sink rate of pelagic tuna longline hooks and its potential for minimising seabird mortalities ccsbters011153 ccamlr 2002 report of the working group on fish stock assessment report of the twentyfirst meeting of the scientific committee of the commission for the conservation of marine living resources commission for the conservation of marine living resources hobart cherel y weimerskirch h duhamel g 1996 interactions between longline vessels and seabirds in kerguelen waters and a method to reduce seabird mortality biological conservation 756370 double m and cocking l in press duckworth k 1995 analysis of factors which influence seabird bycatch in the japanese southern bluefin tuna longline fishery in new zealand waters 19891993 new zealand fisheries assessment research document 9526 gales r brothers n and reid t 1998 seabird mortality in the japanese tuna longline fishery around australia 19881995 biological conservation 8637 56 gilman e brothers n kobayashi d r martin s cook j ray j ching g woods b 2003a performance assessment of underwater setting chutes side setting and bluedyed bait to minimize seabird mortality in hawaii longline tuna and swordfish fisheries final report western pacific regional fishery management council honolulu hawaii usa 42pp gilman e c boggs and n brothers 2003b performance assessment of an underwater setting chute to mitigate seabird bycatch in the hawaii pelagic longline tuna fishery ocean and coastal management 461112 9851010 gilman e n brothers d kobayashi 2005 principles and approaches to abate seabird bycatch in longline fisheries fish and fisheries 6 3549 hu f shiga m yokota k shiode d tokai t sakai h arimoto t 2005 effects of specifications of branch line on sinking characteristics of hooks in japanese tuna longline nippon suisan gakkaishi 71 1 3338 imber mj 1994 report on a tuna longlining fishing voyage aboard southern venture to observe seabird bycatch problems science research series 65 department of conservation wellington new zealand klaer n and t polacheck 1998 the influence of environmental factors and mitigation measures on bycatch rates of seabirds by japanese longline fishing vessels in the australian region emu 9830516 lawrence e wise b bromhead d hindmarsh s barry s bensley n and findlay j 2006 analyses of afma seabird mitigation trials to 2004 bureau of rural sciences canberra lokkeborg s and robertson g 2002 seabird and longline interactions effects of a birdscaring streamer line and line shooter on the incidental capture of northern fulmars fulmarus glacialis biological conservation 106 359364 lokkeborg s 2003 review and evaluation of three mitigation measures birdscaring line underwater setting and line shooter to reduce seabird bycatch in the north atlantic longline fishery fisheries research 60 1116 lydon g and starr p 2005 effect of blue dyed bait on incidental seabird mortalities and fish catch rates on a commercial longliner fishing off east cape new zealand unpublished conservation services programme report department of conservation new zealand 12 p mcnamara b torre l kaaialii g hawaii longline seabird mortality mitigation project honolulu hi usa western pacific regional fishery management council 1999 melvin e f j k parrish k s dietrich and o s hamel 2001 solutions to seabird bycatch in alaskas demersal longline fisheries project afp7 wsgas 0101 washington sea grant melvin ef 2003 streamer lines to reduce seabird bycatch in longline fisheries washington sea grant program wsgas 0033 melvin e f b sullivan g robertson and b wienecke 2004 a review of the effectiveness of streamer lines as a seabird bycatch mitigation technique in longline fisheries and ccamlr streamer line requirements ccamlr sci 11189201 minami h and kiyota m 2001 effect of bluedyed bait on reducing incidental take of seabirds ccsbters011161 7pp minami h and kiyota m 2004 effect of bluedyed bait and toripole streamer on reduction of incidental take of seabirds in the japanese southern bluefin tuna longline fisheries ccsbters040208 robertson g 2003 fastsinking lines reduce seabird mortality in longline fisheries australian antarctic division tasmania sakai h hu f arimoto t 2001 basic study on prevention of incidental catch of seabirds in tuna longline ccsbters011162 sakai h fuxiang h arimoto t 2004 underwater setting device for preventing incidental catches of seabirds in tuna longline fishing ccsbters0402info06 uozomi y and takeuchi y 1998 influence of tori pole on incidental catch rate of seabirds by japanese southern bluefin tuna longline fishery in high seas ccsbtwrs98069 revised 5pp yokota k and kiyota m 2006 preliminary report of sidesetting experiments in a large sized longline vessel wcpfcsc22006eb wp15 paper submitted to the second meeting of the wcpfc ecosystem and bycatch swg manila 10th august 2006,WCPFC3,bycatch,bycatch,3
