"","document","number","content","meeting","topic"
"text1","WCPFC10",1,"the tenth regular session of the commission for the conservation and management of highly migratory fish stocks in the western and central pacific ocean wcpfc10 took place from 2 6 december 2013 at cairns australia","WCPFC10","other"
"text2","WCPFC10",2,"the following members cooperating non members cnms and participating territories ccms attended wcpfc10 american samoa australia canada the people s republic of china the commonwealth of the northern mariana islands cnmi the cook islands the democratic people s republic of korea dprk ecuador el salvador the european union eu the federated states of micronesia fsm fiji france french polynesia guam indonesia japan kiribati the republic of korea the republic of the marshall islands rmi mexico nauru new caledonia new zealand niue palau papua new guinea png the philippines samoa the solomon islands chinese taipei thailand tokelau tonga tuvalu the united states of america usa vanuatu vietnam and wallis and futuna","WCPFC10","other"
"text3","WCPFC10",3,"observers from the following governmental and inter governmental organizations attended wcpfc10 the agreement on the conservation on albatrosses and petrels acap the convention on international trade in endangered species of wild fauna and flora cites the convention on migratory species the inter american tropical tuna commission iattc the pacific islands forum fisheries agency ffa the parties to the nauru agreement pna the secretariat of the pacific community spc the united 3 nations food and agriculture organisation fao the united nations development programme undp and the world bank","WCPFC10","other"
"text4","WCPFC10",4,"observers from the following non governmental organizations attended wcpfc10 american fishermen s research foundation american tunaboat association conservation international earth island institute environment hawaii greenpeace international game fish association igfa international seafood sustainability foundation issf the marine stewardship council msc masyarakat dan perkanan indonesia mdpi ocean friends against driftnets ofad organization for the promotion of responsible tuna fisheries oprt pacific islands tuna industry association pitia pew environment group the united states japan research institute university of the south pacific usp and the world wide fund for nature wwf","WCPFC10","other"
"text5","WCPFC10",5,"a list of all participants is attached as attachment a 1 1 welcoming addresses","WCPFC10","session"
"text6","WCPFC10",6,"the session was opened by australian traditional leaders seith fourmile gimuy walubara yidinji traditional owner cairns area dennis ah kee bunna binda yidinji traditional owner babinda area and jeremy geia gimuy yidinj who welcomed participants to the meeting and stressed through a number of examples the importance of sustainable responsible and equitable fisheries management to their culture","WCPFC10","other"
"text7","WCPFC10",7,"the wcpfc chair dr charles karnella noted the attendance at wcpfc10 of a number of ministers and dignitaries including the honourable april skilling secretary of justice fsm the honourable mr tinian reiher minister for fisheries and marine resource development kiribati the honourable michael konelios minister for resources and development rmi the honourable valdon dowiyogo minister for fisheries and the honourable cyril buraman mp member for constituency of anetan nauru the honourable roy biyama mp member for middle fly the honourable mai dop mp member for jimi the honourable aide ganasi mp member for south fly open seat the honourable jim kas mp governor of madang province the honourable titus philemon mp governor of milne bay province the honourable ati wobiro mp governor of western province the honourable mao zeming mp minister for fisheries marine resources png the honourable ronnel c rivera mayor of general santos city and the honourable brix t tan councillor of general santos city philippines and the honourable elisala pita minister of natural resources tuvalu","WCPFC10","other"
"text8","WCPFC10",8,"several ccms expressed their sincere appreciation to australia for hosting wcpfc10","WCPFC10","other"
"text9","WCPFC10",9,"several ccms offered their condolences to the philippines for the damage and hardship caused by typhoon haiyan 1 2 adoption of agenda","WCPFC10","other"
"text10","WCPFC10",10,"the chair noted that the provisional annotated agenda wcpfc10 2013 03 rev 5 and the indicative schedule wcpfc10 2013 02 rev 7 were circulated in advance of the meeting in addition to these items the chair informed wcpfc10 that a paper concerning procedures for handling the expiry of the executive director s contract on 25 september 2014 wcpfc10 2013 30 will be discussed under agenda item 15 4","WCPFC10","session"
"text11","WCPFC10",11,"with this one amendment wcpfc10 adopted the agenda attachment b 1 3 meeting arrangements","WCPFC10","session"
"text12","WCPFC10",12,"the chair thanked the secretariat staff for their tremendous efforts in arranging and supporting the meeting in particular executive director professor glenn hurry finance and administration manager aaron nighswander science manager dr sungkwon soh compliance manager dr lara manarangi trott assistant compliance manager ana taholo regional observer programme coordinator karl staisch information communication and technology manager sam taufao data quality officer donald david administrative officer lucille martinez vms manager albert carlo executive assistant arlene takesy and university of wollongong assistant research fellow wcpfc intern brooke campbell in addition to secretariat staff participants included management options workshop facilitator ian cartwright rapporteur dr shelley clarke e monitoring and e reporting consultant ian knuckey and legal advisor dr martin tsamenyi","WCPFC10","other"
"text13","WCPFC10",13,"the chair reminded wcpfc10 that while the press is allowed to attend the opening ceremony they are not authorized to interact with participants inside the meeting room","WCPFC10","session"
"text14","WCPFC10",14,"the chair informed wcpfc10 of his intention to form three small working groups to progress the issues of i a conservation and management measure cmm for tropical tunas ii a decision on granting of status and participatory rights for cooperating non members cnms and iii preparation of the final compliance monitoring report cmr","WCPFC10","session"
"text15","WCPFC10",15,"the executive director expressed his appreciation to australia for financial support provided for the meeting s refreshment breaks agenda item 2 membership and other applications 2 1 status of the convention","WCPFC10","session"
"text16","WCPFC10",16,"the depository of the convention new zealand advised wcpfc10 that since its last report at wcpfc9 it has received an instrument of ratification from indonesia showing entry into force on 29 november 2013 wcpfc10 s attention was drawn to a declaration received along with the instrument of ratification which clarifies the application of the convention to indonesian waters wcpfc10 2013 06","WCPFC10","transparency"
"text17","WCPFC10",17,"indonesia thanked the wcpfc for welcoming it as a member noting that it has been working toward ratification for the last eight years in order to mark the occasion of its joining the wcpfc indonesia expressed an offer to host wcpfc11 in bali indonesia also acknowledged the capacity building support it has received from the global environment facility gef west pacific east asia wpea oceanic fisheries management project and voiced its support for the extension of this project","WCPFC10","other"
"text18","WCPFC10",18,"several ccms congratulated indonesia on its ratification of the convention 5 2 2 applications for observer status","WCPFC10","transparency"
"text19","WCPFC10",19,"the chair referred to the list of approved wcpfc observers wcpfc10 2013 07 and welcomed observer representatives to the meeting 2 3 applications for cooperating non member cnm status","WCPFC10","transparency"
"text20","WCPFC10",20,"the chair reminded wcpfc10 that decisions regarding applications for cnm status wcpfc10 2013 08 are to be handled in two distinct steps a decision on whether to grant this status and a decision on the participatory rights to be awarded to each cnm","WCPFC10","transparency"
"text21","WCPFC10",21,"the technical and compliance committee tcc chair rhea moss christian summarized the status of the cnm applications tcc9 reviewed applications from belize the democratic people s republic of korea ecuador el salvador indonesia mexico panama thailand and vietnam and considered that all should be considered by wcpfc10 subject to receipt of the further financial and technical information requested from each applicant some of the applicants provided information on their financial contributions to the commission but receipt of the full contribution was only confirmed for belize ecuador el salvador panama and vietnam a contribution from thailand was received but was slightly short of the full amount requested responses received from belize thailand and vietnam were made available for ccm review on the commission s secure website","WCPFC10","transparency"
"text22","WCPFC10",22,"after some discussion wcpfc10 agreed to conduct discussions on both the decision regarding cnm status and the granting of participatory rights within a small working group swg cnm framework documents for the swg cnm were cmm 2009 11 and secretariat paper wcpfc10 2013 08 the swg cnm proposed draft decision points or report language where possible with the working group noting that final decisions were to be made by the wider commission meeting information reviewed included i tcc9 s recommendations and requests regarding individual cnm applications ii information provided by applicants subsequent to tcc9 and iii information provided during the course of the wcpfc10 swg cnm meeting","WCPFC10","session"
"text23","WCPFC10",23,"tcc9 recommended that the commission consider all cnm applications subject to the additional information requested being provided to and accepted by the commission the swg cnm reiterated that any information requested by tcc should be provided in advance of the regular session of wcpfc to allow due consideration of this material by ccms building on a recommendation from tcc9 the swg cnm confirmed the need for a cnm application template to be developed based on cmm 2009 11 that clearly outlines the requirements for cnm applicants this was a key discussion point from the swg cnm a template was considered necessary to assist with clarity in relation to the application process also some cnms noted the view that parts of the application process did not directly relate to their participation in the wcpfc some members of the swg cnm also raised concerns about consistent application of cmm 2009 11 requirements such as financial contribution granting of cnm status for 2014","WCPFC10","transparency"
"text24","WCPFC10",24,"the swg cnm did not consider tcc9 s recommendations in relation to indonesia given the recent deposit of its instrument of ratification 6 belize","WCPFC10","transparency"
"text25","WCPFC10",25,"tcc9 requested the secretariat ask belize to provide the following in advance of wcpfc10 i information on compliance with the provisions of the convention and cmms of the commission and fisheries laws and regulations of coastal states in the convention area ii information with regard to responding to any iuu activities by vessels flying its flag that have been brought to its attention iii information on compliance with cmms of other rfmos iv what measures were taken to ensure compliance by its vessels with the commission s cmms and v information on responses to alleged violations of cmms and any iuu activities of vessels flying its flag","WCPFC10","transparency"
"text26","WCPFC10",26,"the swg cnm was satisfied with the information provided by belize and invited the commission to renew its cnm status for 2014","WCPFC10","transparency"
"text27","WCPFC10",27,"ffa members stated their general satisfaction with the application and supported renewal of belize s cnm status for 2014","WCPFC10","transparency"
"text28","WCPFC10",28,"wcpfc10 agreed to grant cnm status for 2014 to belize democratic people s republic of korea","WCPFC10","transparency"
"text29","WCPFC10",29,"tcc9 requested the secretariat ask dprk to provide the following in advance of wcpfc10 i commitment to have nationals comply with provisions of the convention and cmms adopted by the commission ii ar part i and ii report for 2013 and information regarding any research programmes conducted in the convention area iii how soon the financial contribution for 2013 can be paid iv information on compliance with the provisions of the convention and the cmms adopted by the commission and the fisheries laws and regulations of coastal states in the convention area v information with regard to responding to any iuu activities by vessels flying its flag that have been brought to its attention vi information on compliance with cmms of other rfmos vii information on what measures taken to ensure compliance by its vessels with the commission s cmms and viii information on responses to alleged violations of cmms adopted by the commission and any iuu activities of vessels flying its flag","WCPFC10","transparency"
"text30","WCPFC10",30,"no information was received from dprk that was considered by the swg cnm information was received by the secretariat on 3 december 2013 advising that a member of the dprk delegation is intending to visit wcpfc offices early in 2014 and indicating that a financial contribution for 2012 2014 would then be paid the swg cnm invited the commission to consider the dprk application in light of this 7","WCPFC10","transparency"
"text31","WCPFC10",31,"ffa members noted that the dprk did not provide the requested information nor its assessed contribution for 2013 these ccms stated that if the assessed contribution for 2013 is not received it should be accrued and added to the 2014 assessed contribution and any further applications from the dprk should not be considered unless the full accrued payment is received","WCPFC10","transparency"
"text32","WCPFC10",32,"wcpfc10 agreed to grant cnm status for 2014 to the dprk ecuador","WCPFC10","transparency"
"text33","WCPFC10",33,"tcc9 requested the secretariat ask ecuador to provide the following in advance of wcpfc10 i details of current fishing presence in the convention area ii information on compliance with the provisions of the convention and the cmms adopted by the commission and the fisheries laws and regulations of coastal states in the convention area iii details of the characteristics of current vessels and iv information on responses to alleged violations of cmms adopted by the commission and any iuu activities of vessels flying its flag","WCPFC10","transparency"
"text34","WCPFC10",34,"ecuador was a participant in the swg cnm and advised that a formal letter of response had been sent to the secretariat prior to wcpfc10 this letter was presented to the swg cnm and outlined ecuador s position that the information requested from tcc9 was largely included in ecuador s original cnm application to tcc9 or on the vessel register","WCPFC10","transparency"
"text35","WCPFC10",35,"upon review the swg cnm was satisfied with the information provided by ecuador and invited the commission to renew its cnm status for 2014","WCPFC10","transparency"
"text36","WCPFC10",36,"ffa members thanked ecuador for the information provided and for its financial contribution and supported renewal of its cnm status for 2014","WCPFC10","transparency"
"text37","WCPFC10",37,"wcpfc10 agreed to grant cnm status for 2014 to ecuador el salvador","WCPFC10","transparency"
"text38","WCPFC10",38,"tcc9 requested the secretariat ask el salvador to provide the following in advance of wcpfc10 i commitment to have nationals comply with the provisions of the convention and cmms adopted by the commission ii information on any research programmes conducted in the convention area iii information on responding to any iuu activities by vessels flying its flag that have been brought to its attention and iv information of responses to alleged violations of cmms adopted by the commission and any iuu activities of vessels flying its flag","WCPFC10","transparency"
"text39","WCPFC10",39,"el salvador was a participant in the swg cnm and provided information in relation to the tcc9 request during wcpfc10 8","WCPFC10","transparency"
"text40","WCPFC10",40,"upon review the swg cnm was satisfied with the information provided by el salvador and invited the commission to renew its cnm status for 2014","WCPFC10","transparency"
