Document ID,Number,Content
WCPFC6,1,"The Sixth Regular Session of the Commission for the Conservation and Management of Highly Migratory Fish Stocks in the Western and Central Pacific Ocean (WCPFC6) took place from 7–11 December 2009 in Papeete, French Polynesia. The session was opened by the Chair of the WCPFC, Ambassador Satya Nandan (Fiji)."
WCPFC6,2,"The President of French Polynesia, Gaston Tong Sang, and the High Commissioner for France in French Polynesia, Adolphe Colrat, both warmly welcomed participants to Tahiti (Attachments A and B, respectively) and expressed their wishes for a productive and enjoyable meeting."
WCPFC6,3,"The WPCFC Chair thanked both the President and the High Commissioner for their hospitality. He expressed his appreciation to officials from French Polynesia, including the Hon. Temauri Foster (Minister of the Sea-Fisheries and Aquaculture), Bruno Peaucellier (Head of International Relations, Office of the President), Stephen Yen Kai Sun (Director, Fisheries Department) and Dominique Person (Head of Marine Affairs, French Polynesia) for their assistance with meeting preparations and operations."
WCPFC6,4,"Niue, on behalf of all participants, thanked the governments of French Polynesia and France for their generous assistance in hosting the meeting."
WCPFC6,5,"The following Members attended: Australia, Canada, People‘s Republic of China, Cook Islands, European Union (EU), Federated States of Micronesia (FSM), Fiji, France, Japan, Kiribati, Korea, Republic of the Marshall Islands (RMI), Nauru, New Zealand, Niue, Palau, Papua New Guinea (PNG), Philippines, Samoa, Solomon Islands, Chinese Taipei, Tonga, Tuvalu, United States of America (USA) and Vanuatu.    2"
WCPFC6,6,"The following Participating Territories attended: American Samoa, Commonwealth of the Northern Mariana Islands, French Polynesia, Guam, New Caledonia, Tokelau, and Wallis and Futuna."
WCPFC6,7,"Indonesia, Belize and El Salvador participated as Cooperating Non-members (CNM)."
WCPFC6,8,"Ecuador, Panama, Thailand and Vietnam participated as observers from non-member countries."
WCPFC6,9,"Observers from the following intergovernmental organizations attended: Inter- American Tropical Tuna Commission (IATTC), International Scientific Committee for Tunas and Tuna-like Species in the North Pacific Ocean (ISC), Pacific Islands Forum Fisheries Agency (FFA), Pacific Islands Forum Secretariat, Secretariat of the Pacific Community (SPC), and The World Bank."
WCPFC6,10,"Observers from the following non-governmental organizations attended: Birdlife International, Earth Island Institute, Greenpeace, International Sustainable Seafood Foundation, International Union for the Conservation of Nature (IUCN), Marine Stewardship Council (MSC), Pacific Island Tuna Industry Association, the World Tuna Purse Seine Organisation, and World Wide Fund for Nature."
WCPFC6,11,A full list of participants is provided in Attachment C.   1.1 Chair’s statement
WCPFC6,12,The Chairman‘s opening statement is appended to this report (Attachment D).
WCPFC6,13,"The following Members and Participating Territories made opening statements: Cook Islands (Attachment E), Korea (Attachment F), Kiribati (Attachment G), New Caledonia (Attachment H), Niue on behalf of the FFA (Attachment I), Papua New Guinea (Attachment J), Tokelau (Attachment K), Tuvalu (Attachment L) and Chinese Taipei (Attachment M).   1.2 Adoption of agenda"
WCPFC6,14,"The agenda, as amended by the meeting (WCPFC6-2009/02 (Rev. 1), and the associated programme of work (WCPFC-2009/04), were adopted (Attachment N).   1.3 Meeting arrangements"
WCPFC6,15,"The WCPFC Executive Director, Andrew Wright, introduced Secretariat technical staff attending the meeting, including Lucille Martinez, Executive Assistant; Herolyn Movick, Office Manager; Andrew Richards, Compliance Manager; Ken Smithson, Finance and Administrative Manager; Dr SungKwon Soh, Science Manager; and Karl Staisch, Observer Programme Coordinator. In addition to Secretariat staff, Dr Shelley Clarke served as rapporteur, Dr Martin Tsamenyi as WCPFC Legal Advisor, and Dr Ziro Suzuki represented the Japanese Trust Fund, which is administered by the Secretariat.   3   AGENDA  ITEM  2  -  MEMBERSHIP 2.1 Status of the Convention"
WCPFC6,16,"New Zealand, as the depository of the Convention, reported that no instrument of ratification, or accession to, the Convention had been received since WCFPC5 (WCPFC6-2009/07)."
WCPFC6,17,"  The EU advised that as a result of the entry into force of the Treaty of Lisbon in early December 2009, its delegation would henceforth be referred to as ―European Union‖ and not ―European Community‖ as previously advised. The EU will notify this change shortly to the WCPFC Secretariat by means of an official correspondence."
WCPFC6,18,  Samoa requested correction of the misprint in the annex to WCPFC6-2009/07 regarding its signature and ratification dates.
WCPFC6,19,New Zealand agreed to look into these issues and report back to the Commission.   2.2 Applications for observer status
WCPFC6,20,"The Executive Director advised that one new request for observer status was received (from the Pew Charitable Trust; WCPFC6-2009/08 [Rev. 1]) in accordance with the Rules of Procedure (Rule 36), and an additional late request was received from The World Bank. While there was no objection to either group being granted observer status, the Executive Director noted that several Members, participating Territories, and Cooperating Non-members (CCMs) had stated that, in future, applicants for observer status should comply with all Commission rules and procedures."
WCPFC6,21,"New Zealand, on behalf of FFA members, reiterated the above issue and suggested that the Finance and Administration Committee (FAC) consider whether there are any costs to the Commission associated with the participation of observers. The FAC was invited to advise the Commission on the appropriateness and, if necessary, the level of observer registration fees in recognition of the growing number of observers and the costs incurred in catering for them at Commission meetings.   2.3 Applications for cooperating non-member status"
WCPFC6,22,"Applications for cooperating non-member (CNM) status, including applications for renewal of status by Indonesia, Belize, El Salvador, Mexico and Senegal, and new applications for CNM status from Ecuador and Vietnam, were considered by the Fifth Technical Compliance Committee meeting (TCC5) in accordance with procedures specified in CMM 2008-02. The Chair of the TCC, Ambassador Wendell Sanford (Canada), noted that none of the applicants had initially provided all of the required information, and that missing information had been requested via correspondence from the Executive Director (WPCFC-2009/09 [Rev. 1]). The TCC Chair noted that future applicants should be sure to check their submissions against the requirements of CMM 2008-02, thereby expediting TCC‘s work in processing applications."
WCPFC6,23,"WCPFC6 noted that in the past, participatory rights were granted based, in part, on voluntary undertakings by CNMs in relation to conservation and management measures (CMMs) and other Commission decisions that were adopted by the Commission at the time CNM status 4  was conferred. The Secretariat prepared a paper (WCPFC6-2009/09 Suppl.) on previous Commission decisions regarding CNMs‘ participatory rights."
WCPFC6,24,"In accordance with the requirement of CMM 2008-02 for the Commission to determine participatory rights for CNMs once CNM status is approved, New Zealand convened a small working group and submitted WCPFC6-2009/28, proposing specific participatory rights for each CNM in 2010."
WCPFC6,25,Several members stressed that CNM status should not be seen as a stepping stone to full membership.
WCPFC6,26,"Papua New Guinea and the Philippines stated that the wording of WCPFC6-2009/28 should not be taken as a precedent for the Commission‘s right to limit fishing activities in archipelagic waters, or to grant national allocations of fishing effort or national limits on catch.  These CCMs also noted with concern that text relating to limits on the number of fishing days, in combination with closing high seas areas (e.g. the two high seas pockets to purse-seine vessels under CMM 2008-01), could lead to an undesirable redistribution of purse-seine fishing effort to the central and eastern areas of the Convention Area.    Belize"
WCPFC6,27,"WCPFC6 approved the application for renewal of CNM status by Belize with the following participatory rights:   Catches of bigeye tuna from Belize are limited to 803.25 mt, its average catch levels over the period of 2001–2004; catches of yellowfin tuna are limited to 2,000 mt; and its fishing activities are limited to: a. Under CMM 2005-02 in accordance with paragraph 1, Belize is limited to historical catch level for 2004 of two unique longliners in the Convention Area south of 20 degrees south latitude; b. Under CMM 2005-03 Belize is limited to the 2005 level of five unique longliners in the Convention Area north of the equator; and  c. Under CMM 2006-04, Belize is limited to two unique longliners in the Convention Area south of 15 degrees south latitude.  El Salvador"
WCPFC6,28,"WCPFC6 approved the application for renewal of CNM status by El Salvador with the following participatory rights:  El Salvador‘s fishing activities are limited to four unique purse-seine vessels in the Convention Area fishing in the EEZs of WCPFC Members subject to those vessels being placed on the WCPFC Record of Fishing Vessels (WCPFC RFV) and such opportunities becoming available. WCPFC6 agreed that in addition, under CMM 2008-01, El Salvador‘s fishing on the high seas in the Convention Area is limited to 29 days of fishing.       5  Indonesia"
WCPFC6,29,"WCPFC6 noted both the long history of Indonesia‘s involvement in the work of the WCPF Convention and the urgent need for further engagement of Indonesia in the work of the Commission, including, in particular, data provision and control of Indonesian-flagged vessels."
WCPFC6,30,"WCPFC6 approved Indonesia’s application for renewal of its CNM status with the following participatory rights:   a. WCPFC agreed that Indonesia‘s fishing activities in the Convention Area would be limited to, in accordance with CMM 2008-01, a longline big eye catch limit of 8,413 mt (less 20% or 6,730.4 mt) and purse-seine fishing on the high seas in the Convention Area is limited to 500 days. b. WCPFC6 encouraged Indonesia to apply compatible measures within its archipelagic waters given that the significance of these waters for juvenile yellowfin and bigeye catches. WCPFC6 noted that Indonesia is a recipient of the new Global Environment Facility West Pacific East Asia Oceanic Fisheries Management (WPEA OFM) Project, through the Commission, and encouraged Indonesia to work with the Commission particularly in areas of data collection improvement."
WCPFC6,31,"Indonesia expressed its appreciation to the Commission for the decision to renew its CNM status, reiterating its support for the principles of the Convention and noting benefits, such as capacity building, which accrue to Indonesia through its participation in the WCPFC. Indonesia stated that, consistent with its position throughout the Multilateral High Level Conference (MHLC) and Preparatory Conference, it considers that WCPFC CMMs do not apply to archipelagic waters.    Mexico"
WCPFC6,32,"With regard to the application for renewal of CNM status by Mexico, Japan expressed concern that Mexico did not attend the Fifth Regular Session of the Northern Committee (NC5), particularly given that Mexico catches at least 5,000 t per annum of Pacific bluefin tuna. Japan wished to make it clear that future renewals of Mexico‘s CNM status could be hampered by a continuing lack of participation in the work of the NC. Japan pointed out that Mexico's participation in the work of the NC should be considered at future renewals of the CNM status."
WCPFC6,33,"WCPFC6 approved the application for renewal of CNM status by Mexico with the following participatory rights:    Mexico‘s fishing activities in the Convention Area are limited to not more than six unique purse-seine vessels fishing only in the EEZs of WCPFC Members, in accordance with appropriate bilateral agreements. WCPFC6 encouraged Mexico to participate in the work of the NC and cooperate fully with WCPFC Members in the conservation and management of Pacific bluefin tuna.  Senegal"
WCPFC6,34,"One CCM raised a continuing concern regarding species composition issues, including queries about skipjack catch and unusual ratios of swordfish and sharks, in the catch data provided by Senegal as part of its renewal application. The CCM expressed an interest in having these issues satisfactorily resolved by Senegal in the future.   6"
WCPFC6,35,"WCPFC6 approved the application for renewal of CNM status by Senegal with the following participatory rights:    Senegal‘s fishing activities in the Convention Area are limited to one unique longline vessel (the Robaliera), which was fishing in the Convention Area in 2005. Noting the concern regarding the species composition of the catches reported by Senegal in WCPFC6-2009/09 (Rev. 1), WCPFC6 tasked the Secretariat to examine the very high catches of skipjack reported by the Robaliera in 2006, and inconsistent ratios of reported swordfish to shark catches. In addition, and, in in light of any new information received, the Secretariat will calculate the swordfish catch limits that would apply to Senegal pursuant to the swordfish measure (CMM 2009-03) and will be circulated to all CCMs.  Ecuador"
WCPFC6,36,"With regard to the CNM application by Ecuador, the USA indicated that it was prepared to accept it, but noted that Ecuador has been implicated in a number of illegal, unreported and unregulated (IUU) fishing incidents in recent years. Ecuador‘s record in this regard will be carefully monitored and scrutinized again at WCPFC7."
WCPFC6,37,"Kiribati noted that in agreeing to the participatory right granted to Ecuador, it did not recognize the limits placed on Ecuador as any basis for limiting the number of licenses Kiribati issues for fishing in its EEZ."
WCPFC6,38,"WCPFC6 approved the application for CNM status by Ecuador with the following participatory rights:   At the time of making the decision, WCPFC6 had not received sufficient data to be able to confirm an applicable purse-seine days limit for Ecuador for the high seas for 2010.  Consequently, Ecuador will be limited to zero days during 2010. WCPFC6 noted that as soon as Ecuador provides to the Commission all relevant catch and effort data that would enable the WCPFC Secretariat to calculate and verify an applicable vessel-days limit pursuant to CMM 2008-01 for yellowfin and bigeye tunas, this limit will be appropriately adjusted and circulated to all CCMs. WCPFC6 agreed to the following conditions for acceptance of Ecuador‘s CNM status: a. Participatory rights are limited to no more than ten unique vessels that shall operate exclusively in waters under the jurisdiction of the coastal States from which they receive licenses. b. All vessels will be equipped with Commission and FFA vessel monitoring system (VMS), which shall be operational at all times while the vessels are in the Convention Area.  c. The Government of Ecuador provides assurances that it will comply with all requests from Commission Members for information and documentation to investigate cases of possible illegal fishing."
WCPFC6,39,Ecuador thanked the Commission for its favorable consideration of its application.    7  Vietnam
WCPFC6,40,"Vietnam made a statement reaffirming the commitments to the Commission made in its written statements, including its acquiescence to data provision, high seas boarding and inspection (HSBI), and participation in the Commission‘s WPEA OFM Project. Vietnam also stated its desire, as a coastal developing State, to receive an allocation of fishing opportunities."
WCPFC6,41,"In response to a question, the Executive Director noted that Vietnam catches between 30,000 mt and 40,000 mt of yellowfin and bigeye tuna per year in its coastal waters but reports no catch on the high seas of the Convention Area."
WCPFC6,42,"The EU explained that a shipment of swordfish from Vietnam was barred from import to the EU on the grounds that Vietnam was not a member of the WCPFC. Once Vietnam articulated to the EU a commitment to join the WCPFC, the shipment was cleared for import. The EU stated its view that Vietnam‘s fishery has an important effect on WCPFC-managed stocks, and thus it considers that Vietnam is an important collaborator."
WCPFC6,43,"Concerns were expressed by several CCMs regarding Vietnam‘s stated aspirations to obtain an allocation for fishing rights within the WCPF Convention Area. One CCM stated that because Vietnam‘s coastal waters in the South China Sea do not fall within the boundary of the WCPF Convention Area, its catch there does not qualify as historic catch in the WCPF Convention Area."
WCPFC6,44,"WCPFC6 approved the application for CNM status by Vietnam with the following participatory rights:    Noting the need for cooperation between Vietnam and the Commission to achieve compatibility of fisheries management and conservation, WCPFC6 agreed to grant CNM status to Vietnam for 2010 on the understanding that CNM status would only relate to the acquisition and exchange of fishery information and data and that Vietnam would require assistance in that regard."
WCPFC6,45,It was clarified that Vietnam would not be allowed to place vessels on the WCPFC‘s Record of Fishing Vessels.
WCPFC6,46,"Vietnam thanked the Commission for its favorable consideration of its application, reiterating that Vietnam will not have any fishing operations in the WCPFC Convention Area during 2010 (Attachment O)."
WCPFC6,47,"Many Members considered that CNMs who do not make a monetary contribution to the work of the Commission, but who gain financially from the fisheries of the Convention Area, are in effect ―free riders‖. Several Members considered that CNMs should contribute in proportion to the benefits they receive, with some of these suggesting that CNMs contribute in equal proportion to Members of the Commission. Many of these Members noted with concern the expanding budget for Commission work, and the increasing burden this is placing on small island developing States (SIDS), as creating even more urgency for equitable cost sharing."
WCPFC6,48,"Other CCMs supported the current situation of encouraging CNMs to make voluntary contributions, citing in particular the fact that CNMs do not have full participatory rights. These CCMs expressed concerns about setting a precedent in other regional fisheries management organizations.   8"
WCPFC6,49,"After further discussion, WCPFC6 adopted an amendment to CMM 2008-02 regarding financial contributions from CNMs (WCPFC6-2009/25, Attachment P). As a consequence, CMM 2008-02 is replaced by CMM 2009-11.   AGENDA  ITEM  3  -  MEMBER REPORTS 3.1 Annual Reports by the CCMs"
WCPFC6,50,"The WCPFC Compliance Manager, Andrew Richards, presented WCPFC6-2009/IP03 and WCPFC6-2009/IP06 (Rev. 1) on CCMs‘ compliance with Part 1 and Part 2 reporting. The first paper notes the number of Part 1 and Part 2 reports that have been received by the Secretariat, and the number of outstanding reports, for each year that the Commission has been operational (2005–2008). Most Part 1 and Part 2 reports are eventually received from CCMs, although the Secretariat‘s compliance reporting has, at times, been hampered by delayed submissions by some CCMs. At the request of TCC5, the Secretariat prepared the latter paper summarizing responses from CCMs to reporting obligations associated with CMMs and Commission decisions. It was noted that some CCMs had pointed out minor errors in the table and that corrections would be made in response."
WCPFC6,51,The EU noted that the ratification of the Lisbon Treaty has changed the fisheries decision-making process to a co-decision process between the Council of the European Union and the European Parliament. This change is likely to make the process of implementing WCPFC CMMs into EU legislation a more lengthy and time-consuming process than before
WCPFC6,52,"One CCM suggested that the deadline for submission of Part 2 of the Annual Report be changed from 31 July each year to one month prior to the meeting of the TCC. This deadline would be consistent with the deadline for Part 1 of the Annual Report, which is due one month prior to the meeting of the Scientific Committee (SC)."
WCPFC6,53,WCPFC6 agreed to revise the deadline for Part 2 of CCMs’ Annual Reports from 31 July to one month prior to the meeting of the TCC.   3.2 Statements by non-members
WCPFC6,54,No statements of non-members were provided to WCPFC6.   AGENDA  ITEM  4  -  SCIENCE ISSUES 4.1 Report of the Fifth Regular Session of the Scientific Committee
WCPFC6,55,"The Chair of the Scientific Committee, Dr Naozumi Miyabe (Japan), provided a summary of the Fifth Regular Session of the Scientific Committee (SC5), which was held 10–21August, 2009 at Port Vila, Vanuatu."
