Document ID,Number,Content
WCPFC5,1,"The Fifth Regular Session of the Commission for the Conservation and Management of Highly Migratory Fish Stocks in the Western and Central Pacific Ocean (WCPFC5) took place from 8–12 December 2008 at Busan, Korea. The session was opened by the Chair of the Commission, Glenn Hurry (Australia)."
WCPFC5,2,"The following Members attended: Australia, Canada, People’s Republic of China, Cook Islands, European Community (EC), Federated States of Micronesia (FSM), Fiji, France, Japan, Kiribati, Korea, Republic of the Marshall Islands (RMI), Nauru, New Zealand, Niue, Palau, Papua New Guinea (PNG), Philippines, Samoa, Solomon Islands, Chinese Taipei, Tonga, Tuvalu, United States of America (USA) and Vanuatu."
WCPFC5,3,"Participating Territories that attended included American Samoa, Commonwealth of the Northern Mariana Islands, French Polynesia, Guam, New Caledonia and Tokelau."
WCPFC5,4,Indonesia and Belize participated as Cooperating Non-members (CNMs).
WCPFC5,5,"Observers from the following non-member countries attended: Ecuador, El Salvador, Mexico, Panama, Senegal, Thailand and Vietnam."
WCPFC5,6,"Observers from the following intergovernmental organizations attended: Inter-American Tropical Tuna Commission (IATTC), International Scientific Committee for Tunas and Tuna-like Species in the North Pacific Ocean (ISC), Pacific Islands Forum Fisheries Agency (FFA), Pacific Islands Forum Secretariat, and Secretariat of the Pacific Community (SPC).     2"
WCPFC5,7,"Observers from the following non-governmental organizations attended: American Fishermen’s Research Foundation, Birdlife International, Earth Island Institute (EII), Greenpeace, International Sustainable Seafood Foundation (ISSF), International Union for the Conservation of Nature (IUCN), Marine Stewardship Council (MSC), Pacific Island Tuna Industry Association, and World Wide Fund for Nature (WWF)."
WCPFC5,8,A full list of participants is provided in Attachment A.   1.1 Welcome address and Chair’s statement
WCPFC5,9,"An opening address was delivered by Park Deok-Bae, Vice Minister from the Korean Ministry for Food, Agriculture, Forestry and Fisheries (MIFAFF) (Attachment B). Samoa, on behalf of Commission members, thanked the host country for its hospitality."
WCPFC5,10,"The Chair made an opening statement (Attachment C), highlighting four key items before the Commission at WCPFC5, including a conservation and management measure (CMM) for bigeye and yellowfin tuna, a CMM for transhipment, compatible measures between exclusive economic zones (EEZs) and the high seas, and decisions on the application process for CNMs.   1.2 Adoption of agenda"
WCPFC5,11,The Commission adopted the agenda contained in WCPFC5-2008/03 Rev.3 and the provisional schedule of work contained in WCPFC5-2008/04 Rev.4.  1.3 Meeting arrangements
WCPFC5,12,"The WCPFC Executive Director, Andrew Wright, introduced Secretariat technical staff attending the meeting, including Andrew Richards, Compliance Manager; Ken Smithson, Finance and Administrative Officer; SungKwon Soh, Science Manager; Karl Staisch, Observer Programme Coordinator; and Ziro Suzuki, Japan Trust Fund Coordinator. In addition to Secretariat staff, Shelley Clarke served as rapporteur; Campbell Davies, Iain Hayes and Graeme Parkes participated as technical advisors on various subjects; and Martin Tsamenyi attended the meeting as the legal advisor. Herolyn Movick and Lucille Martinez of the WCPFC Secretariat, supported by Jeanny Relations (Busan), handled administrative arrangements.   AGENDA  ITEM  2  -  MEMBERSHIP   2.1 Status of the Convention"
WCPFC5,13,"The depository for the Convention, New Zealand, presented WCPFC5-2008/07, summarizing the status of the Convention as of 10 November 2008. New Zealand noted that since its last report at WCPFC4, it has not received notification of any instruments of ratification of or accession to the Convention.   2.2 Applications for Observer status"
WCPFC5,14,"Observer status was granted to the following four new applicants: Liberia,Vietnam,  International Sustainable Seafood Foundation, and the International Union for the Conservation of Nature (IUCN).   3  2.3 Applications for Cooperating Non-member status"
WCPFC5,15,"The Commission considered applications from Belize and Indonesia for the renewal of their CNM status, and new applications from Ecuador, El Salvador, Mexico and Senegal.  Documentation supporting these applications was distributed to delegations as WCPFC5-2008/08, and a summary of these materials was provided as WCPFC5-2008/IP10."
WCPFC5,16,Indonesia presented a statement summarizing its application for renewal of its CNM status for 2009 (Attachment D).
WCPFC5,17,WCPFC5 approved Indonesia’s application for CNM status for 2009.
WCPFC5,18,Belize presented a statement summarising its application for renewal of its CNM status for 2009 (Attachment E).
WCPFC5,19,"Some CCMs, while not opposing Belize’s application, expressed concern about the beneficial ownership of some fishing vessels flagged to Belize and currently operating in the WCPF Convention Area, and the extent to which Belize could exercise control over its vessels, and currently operating in the WCPF Convention Area. One member noted the relevance of “real interest” and the need to ensure that States are not able to come into the region, fish in an illegal, unreported and unregulated (IUU) fashion, and then claim CNM status. Concern was expressed that the failure of other regional fisheries management organizations (RFMOs) was leading to an increase in capacity in the WCPFC region, and that only applicants that could demonstrate a past presence in the region should receive CNM status. It was incumbent on the Commission to place limits, in line with those of past efforts, and accept applicants but limit capacity effort."
WCPFC5,20,"Belize asked that the focus remain on the compliance record of the beneficial owner, not simply the State from which the beneficial owner operates. Belize also noted the desirability of maintaining consistent standards with regard to beneficial ownership for both members and CNMs."
WCPFC5,21,"Other Cooperating Non-members and participating Territories (CCMs) fully supported Belize’s application, acknowledging its record of compliance with CMMs developed by the WCPFC and information requests over the past year."
WCPFC5,22,"In response to Belize’s stated intention to seek full membership in the Commission, some FFA members noted that the granting of CNM status should not be viewed as conferment of a right to become a Commission Member, or to seek an allocation that could lead to overcapacity and overfishing. Clarification was also sought as to whether ratification of, or accession to, the United Nations Convention on the Law of the Sea (UNCLOS) and the UN Fish Stocks Agreement  (UNFSA)  should be necessary requirements for CNM status."
WCPFC5,23,"Martin Tsamenyi explained that CMM 2004-02 does not require ratification of, or accession to, the UNCLOS or UNFSA as prerequisites for CNM status. He noted that there are some Commission Members who are not parties to both treaties.    4"
WCPFC5,24,"Some FFA members stated their support for CNM applications, which provide opportunities for small island developing State (SIDS) members of the Commission and participating territories to maximize economic benefits from the sustainable management of the tuna resources in the Convention Area."
WCPFC5,25,"WCPFC5 approved Belize’s application for CNM status for 2009, with the understanding that Belize will cooperate with WCPFC Members in the monitoring and control of its longline vessels."
WCPFC5,26,"The Chair noted that Belize had written to contracting parties requesting an invitation to accede to the Convention, and asked the Executive Director to progress this matter inter-sessionally."
WCPFC5,27,"El Salvador presented a statement supporting its application for CNM status (Attachment F). El Salvador committed to limiting its fishing in the Convention Area to two vessels that were granted licenses to fish in Kiribati’s EEZ, although El Salvador noted an interest in entering into further licensing arrangements with coastal State Commission Members should such opportunities become available under the vessel day scheme (VDS)."
WCPFC5,28,"Representatives of the FFA Secretariat and Kiribati stated that the two El Salvadorean vessels fishing in Kiribati’s EEZ in 2008 complied with vessel monitoring system (VMS) requirements for part of the time: one vessel reported from July to the present, and the other reported in April–May and in October–November. It was noted that reporting began in April 2008 because up until that time, these vessels were not on the WCPFC Record of Vessels and, thus, could not be entered into the FFA vessel registry."
WCPFC5,29,"In response to a request for clarification, Martin Tsamenyi explained that, under CMM 2004-01, Commission Members have agreed not to license non-members of the Commission or CNMs to fish in the Convention Area. Therefore, unless CMM 2004-01 is amended, coastal State Commission Members would be in violation of CMM 2004-01 if they license non-CCMs to fish in their EEZs."
WCPFC5,30,"In response to a question regarding its accession to UNCLOS and UNFSA, El Salvador responded that its accession was complicated by domestic legal issues but that its status with regard to these treaties notwithstanding, its intention in applying for CNM status was to comply with all applicable WCPFC CMMs."
WCPFC5,31,"With regard to El Salvador’s history of fishing on the high seas in the Convention Area in 2001–2004, 29 days of fishing had been recorded in the data available to the Commission."
WCPFC5,32,"Following reaffirmation from El Salvador that it would operate only two purse seiners in the WCPF Convention Area, and that its operations on the high seas would be in accordance with existing CMMs adopted by the Commission, WCPFC5 approved El Salvador’s application for CNM status for 2009."
WCPFC5,33,"Ecuador, Senegal and Mexico presented statements supporting their applications for CNM status (Attachments G, H and I)."
WCPFC5,34,"It was agreed that these three applications would be evaluated against a flowchart, based on CMM 2004-02, developed at Fourth Regular Session of the Technical and  5 Compliance Committee (TCC4 Summary Report, Attachment I) by a small group consisting of representatives from the USA and PNG. In addition to applying the flowchart to the applications, the USA and PNG co-facilitators met with applicants to clarify any outstanding issues; to confirm their understanding of how CMMs will apply to their existing or proposed fishing activities; and to explore whether each applicant was proposing any voluntary agreements to limit its catch or effort in the Convention Area given the status of the stocks."
WCPFC5,35,"Regarding Ecuador, the USA and PNG found that the application generally met the criteria for CNM status, but that there remained issues regarding the provision of operational data. In particular, due to gaps in the VMS record for seven Ecuadorean vessels fishing under license to Kiribati, there were questions regarding whether the operations of all of these vessels were conducted wholly within Kiribati’s national waters. It was noted that at WCPFC4, Kiribati committed to including a requirement for the Ecuadorean vessels to refrain from fishing on the high seas as a condition on their licenses."
WCPFC5,36,"In addition to the concerns raised by the group about possible unauthorized fishing on the high seas of the Convention Area by Ecuador over the past year, the USA stated that the historical data provided by Ecuador in support of its CNM application, indicated that there had been illegal operations conducted in the USA’s EEZ.  In addition, the USA stated that it has sought information and cooperation from Ecuador over the past 18 months regarding additional illegal fishing activity by Ecuadorian-flagged vessels in the USA EEZ and in other Member’s national waters. Despite attempts to settle this issue with Ecuadorean representatives, the USA noted that its concerns remain unresolved and, thus, it could not support Ecuador’s application."
WCPFC5,37,Ecuador responded that it is investigating the issues raised by the USA through its own internal procedures. A legal opinion has been sought from the Ecuadorian Attorney General and matters cannot proceed until this opinion is provided.
