CMM,Status,Section Number,Content
2007-03_historical,historical,1,"At each annual meeting, the Commission will identify those vessels which have engaged in fishing activities for species covered by the Convention within the Convention Area in a manner which has undermined the effectiveness of the WCPF Convention and the WCPFC measures in force, and shall establish, and, as necessary, amend in subsequent years, a list of such vessels (the IUU Vessel List), in accordance with the procedures and criteria set out in this conservation measure."
2007-03_historical,historical,2,"This identification shall be suitably documented, inter alia, on reports from Members, Cooperating Non-Members and Participating Territories (collectively CCMs) relating to WCPFC Conservation measures in force, trade information obtained on the basis of  relevant trade statistics such as Food and Agriculture Organization of the United Nations (FAO) data, statistical documents and other national or international verifiable statistics, as well as any other information obtained from port States and/or gathered from the fishing grounds that is suitably documented. Information from CCMs should be provided in the format approved by the Commission."
2007-03_historical,historical,3,"For the purposes of this conservation measure, vessels fishing for species covered by the WCPFC Convention are presumed to have carried out IUU fishing activities, as described in the IPOA on IUU fishing, in the Convention Area when a CCM presents suitably documented information that such vessels, inter alia: a. Harvest species covered by the WCPFC Convention in the Convention Area and are  neither on the WCPFC record of authorized vessels nor a fishing vessel fishing exclusively in waters under the jurisdiction of its flag State, or b. Conduct fishing activities in waters under the jurisdiction of a coastal State, without permission of that State, or in contravention of its law and regulations, or c. Do not record or report their catches made in the Convention Area consistent with WCPFC measures, or make false reports, or d. Take and land undersized fish in a way that undermines WCPFC conservation measures, or e. Fish in a closed area or during a closed season in a way that undermines WCPFC conservation measures, or f. Use prohibited fishing gear in a way that undermines WCPFC conservation measures, or g. Tranship with, participate in joint fishing operations with, support or re-supply vessels included in the IUU Vessel List, or h. Are without nationality and harvest species covered by the WCPFC Convention in the Convention Area, or i. Engage in any other fishing activities that undermine the provisions of the WCPF Convention or any other WCPFC conservation measures, or j. Are under the control of the owner of any vessel on the WCPFC IUU Vessel List. Information on alleged IUU fishing activities"
2007-03_historical,historical,4,"At least 120 days before the annual meeting of the Technical and Compliance Committee (TCC), CCMs shall transmit to the Executive Director their list of vessels presumed to be carrying out IUU activities in the Convention Area during the current or the previous year, accompanied by suitably documented information, as provided in para 2, concerning the presumption of this IUU activity."
2007-03_historical,historical,5,"Before or at the same time as transmitting a list of presumed IUU vessels to the Executive Director, the CCM shall notify, either directly or through the Executive Director, the relevant flag State of a vessel’s inclusion on this list and provide a copy of the pertinent suitably documented information. The flag State shall promptly acknowledge receipt of the notification.  If no acknowledgement is received within 10 days of the date of transmittal, the CCM shall retransmit the notification through an alternative means of communication. Draft IUU Vessel List"
2007-03_historical,historical,6,"The Executive Director shall draw up a draft IUU Vessel List incorporating the lists of vessels and suitably documented information received pursuant to para 4, and any other suitably documented information at his disposal, and shall transmit it, together with all the supporting information provided, to all CCMs, as well as to non-CCMs with vessels on the list, at least 90 days before the TCC’s annual meeting."
2007-03_historical,historical,7,"The Executive Director shall request each CCM and non-CCM with vessels on the draft IUU Vessel List to notify the owner of the vessels of their inclusion in that list, and of the consequences of their inclusion being confirmed in the IUU Vessel List."
2007-03_historical,historical,8," Upon receipt of the draft IUU Vessel List, CCMs shall closely monitor the vessels included in that list in order to follow their activities and possible changes of name, flag or registered owner."
2007-03_historical,historical,9,"As appropriate, CCMs and non-CCMs with vessels on the list should transmit, at least 30 days before the TCC’s annual meeting, their comments to the Executive Director, including suitably documented information, showing that the vessels have fished in a manner consistent with WCPFC conservation measures or the laws and regulations of a State when fishing in waters under the jurisdiction of that State, or have fished exclusively for species not covered by the WCPFC Convention."
2007-03_historical,historical,10,"The Executive Director shall re-circulate the draft IUU Vessel List, two weeks in advance of the TCC’s annual meeting, to the CCMs and the non-CCMs concerned, together with all the suitably documented information provided pursuant to paras 4 and 9 above."
2007-03_historical,historical,11,CCMs and non-CCMs may at any time submit to the Executive Director any additional suitably documented information regarding any vessels on the draft IUU Vessel List. The Executive Director shall circulate this additional information to all CCMs and to the non-CCMs concerned immediately upon receipt of such information. Provisional and current IUU Vessel List
2007-03_historical,historical,12,"The WCPFC’s IUU Vessel List adopted during the previous year, as well as any new suitably documented information regarding this list, including intersessional amendments, shall be transmitted to CCMs and the non-CCMs concerned in conjunction with the draft IUU Vessel List and materials outlined in para 6."
2007-03_historical,historical,13," CCMs and non-CCMs with vessels on the current WCPFC IUU Vessel List should transmit at least 30 days before the annual meeting of the TCC, but may submit at any time, to the Executive Director suitably documented information regarding any of the vessels on the current WCPFC IUU Vessel List, including, where appropriate, suitably documented information as provided for in paragraph 25.  The Executive Director shall re-circulate the current WCPFC IUU Vessel List two weeks in advance of the annual meeting of the TCC to the CCMs and non-CCMs concerned, together with all the information provided pursuant to paragraph 12 and this paragraph."
2007-03_historical,historical,14,"At its annual meeting, the TCC shall: (i) following consideration of the draft IUU Vessel List and the suitably documented information circulated under paras 6, 10 and 11, adopt a Provisional IUU Vessel List; and (ii) following consideration of the current WCPFC IUU Vessel List and the suitably documented information circulated under paras 12 and 13, recommend to the Commission which, if any, vessels should be removed from the current WCPFC IUU Vessel List."
2007-03_historical,historical,15,"The TCC shall not include a vessel on the Provisional IUU Vessel List if the vessel’s flag State demonstrates that: a. The vessel fished in a manner consistent with WCPFC Conservation Measures or the laws and regulations of a State when fishing in waters under the jurisdiction of that State, or have fished exclusively for species not covered by the WCPFC Convention, or b. Effective action has been taken in response to the IUU fishing activities in question, such as, inter alia, prosecution or the imposition of sanctions of adequate severity; or c. That the case regarding the vessel or vessels that conducted IUU fishing activities has been settled to the satisfaction of the CCM that originally submitted the vessel for listing and the flag State involved."
2007-03_historical,historical,16,The TCC shall not include a vessel on the Provisional IUU Vessel List if the notifying CCM did not follow the provisions of para 5.
