CMM,Status,Section Number,Content
2009-01_historical,historical,1,"Each member A. Authorization to fish 2(c)  take necessary measures to ensure that fishing for highly migratory fish stocks in the Convention Area is conducted only by vessels flying the flag of a member of the Commission, and in respect of non-member carriers and bunkers, in accordance with Section D of this Measure of the Commission shall: (a)  authorize its vessels to fish in the Convention Area, consistent with article 24 of the Convention, only where it is able to exercise effectively its responsibilities in respect of such vessels under the 1982 Convention, the Agreement and this Convention; (b)  take necessary measures to ensure that its vessels comply with conservation and management measures adopted pursuant to the Convention; 3                                                 1  This Measure replaces CMM 2004-01  2 The term “member” when used in this measure includes cooperating non-members. 3 This revision is to correct a cross referencing error in Para 35. ; (d)  take necessary measures to ensure that any fishing vessel flying its flag conducts fishing  in areas under the national jurisdiction of another State only where the vessel holds an appropriate license, permit or authorization, as may be required by such other State; (e)  undertake to manage the number of authorizations to fish and the level of fishing effort commensurate with the fishing opportunities available to that member in the Convention Area; (f) ensure that no authorization to fish in the Convention Area is issued to a vessel that has a history of illegal, unreported or unregulated (IUU) fishing, unless the ownership of the vessel has subsequently changed and the new owner has provided sufficient evidence demonstrating that the previous owner or operator has no legal, beneficial or financial interest in, or control of the vessels, or the member concerned is satisfied that, having taken into account all relevant facts, the vessel is no longer engaged in or associated with IUU fishing; (g)   withdraw authorizations to fish consistent with article 25(4) of the Convention; (h)  take into account the history of violations by fishing vessels and operators when considering applications for authorization to fish by fishing vessels flying its flag; (i)  take necessary measures to ensure that the owners of the vessels on the Record flying its flag are citizens, residents or legal entities within its jurisdiction so that any control or punitive actions can be effectively taken against them."
2009-01_historical,historical,2,"Each member of the Commission shall take necessary measures to ensure that its fishing vessels, when in the Convention Area, only tranship to/from, and provide bunkering for, are bunkered by or otherwise supported by: (a) vessels flagged to members, or (b) Other vessels flagged to States not members of the Commission only if such vessels are on the WCPFC Interim Register of non-Member Carrier and Bunker Vessels established under section D below (the “Register”); or (c) Vessels operated under charter, lease, or similar mechanisms in accordance with paragraphs 41 to 43 of this measure."
2009-01_historical,historical,3,No member of the Commission shall allow any fishing vessel entitled to fly its flag to be used for fishing in the Convention Area beyond areas of national jurisdiction unless it has been authorized to do so by the appropriate authority or authorities of that member.
2009-01_historical,historical,4,"Each such authorization shall set forth for the vessel to which it is issued: (a) the specific areas, species and time periods for which the authorization is valid; (b) permitted activities by the vessel; (c) a prohibition of fishing, retention on board, transshipment or landing by the vessel in areas under the national jurisdiction of another State except pursuant to any license, permit or authorization that may be required by such other State; (d) the requirement that the vessel keep on board the authorization issued pursuant to paragraph 1 above, or certified copy thereof; any license, permit or authorization, or certified copy thereof, issued by a coastal State, as well as a valid certificate of vessel registration; and (e) any other specific conditions to give effect to the provisions of the Convention and conservation and management measures adopted pursuant to it. B.  Members’ record of fishing vessels"
2009-01_historical,historical,5,"Pursuant to article 24(4) on the Convention, each member of the Commission shall maintain a record of fishing vessels entitled to fly its flag and authorized to fish in the Convention Area beyond its area of national jurisdiction, and shall ensure that all such fishing vessels are entered in that record."
2009-01_historical,historical,6,"Each member of the Commission shall submit, electronically where possible, to the Executive Director by 1 July 2005 the following information with respect to each vessel entered in its record: (a) name of the fishing vessel, registration number, WCPFC Identification Number (WIN), previous names (if known) and port of registry; (b) name and address of the owner or owners; (c) name and nationality of the master; (d) previous flag (if any); (e) International Radio Call sign (f) vessel communication types and numbers (Inmarsat A, B and C numbers and satellite telephone number); (g) colour photograph of the vessel; (h) where and when the vessel was built; (i) type of vessel; (j) normal crew complement; (k) type of fishing method or methods; (l) length (specify type and metric); (m) moulded depth (specify metric); (n) beam (specify metric); (o) gross registered tonnage (GRT) or gross tonnage (GT); (p) power of main engine or engines (specify metric); (q) carrying capacity, including freezer type, capacity and number, fish hold capacity and capacity of freezer chambers (specify metric); and (r) the form and number of the authorization granted by the flag State including any specific areas, species and time periods for which it is valid."
2009-01_historical,historical,7,"After 1 July 2005, each member of the Commission shall notify the Executive Director, within 15 days, or in any case within 72 hours before commencement of fishing activities in the Convention Area by the vessel concerned, of:  (a) any vessel added to its Record along with the information set forth in paragraph 6; (b) any change in the information referred to in paragraph 6 with respect to any vessel on its record; and (c) any vessel deleted from its record along with the reason for such deletion in accordance with article 24 (6) of the Convention,"
2009-01_historical,historical,8,"Each member of the Commission shall submit to the Executive Director, information requested by the Executive Director with respect to fishing vessels entered in its national record of fishing vessels within fifteen (15) days of such request."
2009-01_historical,historical,9," Before 1 July of each year, each Member shall submit to the Executive Director a list of all vessels that appeared in its record of fishing vessels at any time during the preceding calendar year, together with each vessel’s WCPFC identification number (WIN) and an indication of whether each vessel fished for highly migratory fish stocks in the Convention Area beyond its area of national jurisdiction. The indication shall be expressed as (a) fished, or (b) did not fish."
2009-01_historical,historical,10," Members that operate lease, charter arrangements or similar arrangements that result in data reporting obligations being conferred to a party other than the flag State will make arrangements to ensure that the flag State can meet its obligations under paragraph 9.  C. WCPFC Record of Fishing Vessels"
2009-01_historical,historical,11,"The Commission shall, in accordance with article 24(7) of the Convention and based on the information provided to the Commission in accordance with the Convention and these procedures, establish and maintain its own record of fishing vessels authorized to fish in the Convention Area beyond the national jurisdiction of the member of the Commission whose flag the vessel is flying. Such record shall be known as the WCPFC Record of Fishing Vessels (the “Record”)."
2009-01_historical,historical,12," The Record shall include for each vessel an indication of whether or not it was active in the Convention Area beyond its flag State’s area of national jurisdiction in each of the preceding years starting in 2007, consistent with the information provided by Members under paragraph 9."
2009-01_historical,historical,13,The Executive Director shall ensure that due publicity is given to the Record and the Register including making its contents available through an appropriate website.
2009-01_historical,historical,14,"In addition, the Executive Director shall circulate an annual summary of the information contained in the Record and the Register to all members and participating territories (CCMs) of the Commission at least 30 days prior to the annual meeting of the Commission."
2009-01_historical,historical,15,"CCMs shall review their own internal actions and measures taken pursuant to paragraph 1, including sanctions and punitive actions and, in a manner consistent with domestic law as regards disclosure, report annually to the Commission the results of the review. In consideration of the results of such review, the Commission shall, if appropriate, request that the Flag State, or member, of vessels on the Record or the Register take further action to enhance compliance by those vessels with WCPFC conservation and management measures."
2009-01_historical,historical,16,"It is the responsibility of each member of the Commission to ensure that its fishing vessels have been placed on the WCPFC Record of Fishing Vessels in accordance with the requirements of this measure, and any vessel not included in the WCPFC Record of Fishing Vessels shall be deemed not to be authorized to fish for, retain on board, transship or land highly migratory fish stocks in the Convention Area beyond the national jurisdiction of its flag State. Each member of the Commission shall prohibit such activities by any vessel entitled to fly its flag that is not included on the Record and shall treat a violation of this prohibition as a serious violation. Such vessels shall be eligible to be considered for IUU listing.419. If such vessel is flying the flag of a member of the Commission, the Executive Director shall notify that member and shall request that member to take the necessary measures to prevent"
2009-01_historical,historical,17,Each CCM shall further prohibit landing at its ports or transshipment to vessels flying its flag of highly migratory fish stocks caught in the Convention Area by vessels not entered on the Record or the Register.
2009-01_historical,historical,18,"Each CCM shall notify the Executive Director, in accordance with the relevant provisions of article 25 of the Convention, of any factual information showing that there are reasonable grounds to suspect that a vessel that is not on the Record or the Register is or has been engaged in fishing for or transhipment of highly migratory fish stocks in the Convention Area.                                                  4 This revision is to correct an omission in an amendment to this paragraph under CMM 2004-01 that was approved in WCPFC6, but not included in the new CMM 2009-01. the vessel from fishing for highly migratory fish stocks in the Convention Area and to report back on the actions taken with respect to the vessel."
