Document ID,Number,Content
WCPFC13,1,"The Thirteenth Regular Session of the Commission for the Conservation and Management of Highly Migratory Fish Stocks in the Western and Central Pacific Ocean (WCPFC13) took place from  5-9 December 2016 on Denarau Island, Fiji."
WCPFC13,2,"The following Members and Participating Territories attended WCPFC13: American Samoa, Australia, Canada, the People’s Republic of China, the Commonwealth of the Northern Mariana Islands (CNMI), the Cook Islands, the European Union (EU), the Federated States of Micronesia (FSM), Fiji, French Polynesia, Guam, Indonesia, Japan, Kiribati, the Republic of Korea, the Republic of the Marshall Islands (RMI), Nauru, New Caledonia, New Zealand, Niue, Palau, Papua New Guinea (PNG), the Philippines, Samoa, the Solomon Islands, Chinese Taipei, Tokelau, Tonga, Tuvalu, the United States of America (USA), Vanuatu, and Wallis and Futuna."
WCPFC13,3,"The following non-party countries attended WCPFC13 as Cooperating Non-Members (CNMs): Ecuador, El Salvador, Liberia, Mexico, Panama, Thailand and Vietnam."
WCPFC13,4,"Observers from the following governmental and inter-governmental organizations (IGOs) attended WCPFC13: Agreement on the Conservation of Albatrosses and Petrels (ACAP), Inter-American Tropical Tuna Commission (IATTC), Pacific Islands Forum Fisheries Agency (FFA), the Parties to the Nauru Agreement (PNA), the Pacific Community (SPC), the Secretariat for the Pacific Regional Environment Programme (SPREP), the Food and Agriculture Organization of the United Nations (FAO), , and University of the South Pacific."
WCPFC13,5,"Observers from the following non-governmental organizations (NGOs) attended WCPFC13: American Tunaboat Association, Birdlife International, Conservation International, Environmental Defense Fund (EDF), Greenpeace, International Environmental Law Project (IELP), International Seafood Sustainability Foundation (ISSF), the Marine Stewardship Council (MSC), the Nature Conservancy, Organization for the Promotion of Responsible Tuna Fisheries (OPRT), Pacific Island Tuna Industry Association (PITIA), the Pew Charitable Trusts (PEW), Seafood Legacy, Sustainable Fisheries Partnership (SFP) Foundation, World Tuna Purse Seine Organization, and World Wide Fund for Nature (WWF)."
WCPFC13,6,A list of all participants is attached (Attachment A). WCPFC13 Summary Report (Issued 02-Mar-17) 4 of 3611.1 Welcome address
WCPFC13,7,"After a devotion by Reverend Kolinio Bulivakarua and a Fijian traditional ceremony of welcome, the Fijian Minister for Forests, the Hon. Osea Naiqamu, gave the opening address. Stressing the need for cooperation to meet objectives of the Convention and commitment to working together, the Minister noted that fisheries management was a vocation for many countries. The Minister noted that long term sustainability is necessary for Fiji’s people and for future generations. The Minister’s full speech is attached at Attachment B."
WCPFC13,8,"The Commission Chair, Ms Rhea Moss-Christian, made some opening remarks highlighting the importance of making progress through a step-wise, incremental approach, and the need for CCMs to avoid adopting an all-or-nothing mentality. The Chair’s full speech is attached at Attachment C."
WCPFC13,9,"In the WCPFC Executive Director’s opening remarks, Feleti Teo, OBE, noted that divergent interests within the Commission meant that negotiations were always difficult. The Executive Director stressed that the Commission’s focus should be firmly on sustainability of stocks, and those issues that were most critical, including implementing the harvest strategy approach to fisheries management, where parties agree in advance what the Commission should do when a stock reaches a certain status. The Executive Director noted the remarkable job Fiji had done to host the meeting, given the damage to Fiji from 2016’s Cyclone Winston. The Executive Director’s full speech is attached at Attachment D."
WCPFC13,10,The meeting opened at 10am on Monday 5 December 2016. 1.2 Adoption of agenda
WCPFC13,11,"In a brief discussion of the agenda (WCPFC13-2016-01_rev1), it was agreed that Korea could raise its payback plan for Pacific bluefin tuna under agenda item 9.5."
WCPFC13,12,"The agenda was adopted without amendment (Attachment E). 1.3 Meeting arrangements 1.3.1 Establishment of small working groups (CNMs, CMS, Others)"
WCPFC13,13,"The following small working groups (SWGs) were established to deal with issues in the margins of the meeting and to provide a report for consideration by plenary:  determination of interim acceptable levels of risk (led by Vice-Chair, Russell Smith)   observer safety (led by USA)  bigeye tuna rebuilding timelines (led by Australia)  finalisation of the CMR (led by TCC Chair, Alexa Cole (USA))  South Pacific albacore TRP (led by Samoa)  determination of the participatory rights for CNMs (led by Canada)  management objectives (led by Japan)"
WCPFC13,14,"In addition, drafting groups were established to progress the bridging tropical tuna measure (led by the Chair) and the bridging South Pacific albacore measure (led by New Zealand), to consult on and draft negotiating texts for WCPFC13 to discuss and the Commission to progress through 2017. It was noted that FAC would continue to meet in the margins of WCPFC13. WCPFC13 Summary Report (Issued 02-Mar-17) 5 of 3611.3.2. Election of FAC co-chair"
WCPFC13,15,The Commission appointed Magele Etuati Ropeti (Samoa) to be FAC co-chair.
WCPFC13,16,"Ropeti’s duties began immediately, to assist FAC10 to progress its work in the margins. AGENDA ITEM 2 — REPORT OF THE EXECUTIVE DIRECTOR"
WCPFC13,17,"As required by Rule 13 of the Rules of Procedure of the Commission, the Executive Director presented his Annual Report for 2016 (WCPFC13-2016-05), highlighting the main work programmes and activities of the Commission and its Secretariat for 2016. The Executive Director noted that Pohnpei, FSM had hosted Pacific Islands Forum Leaders in September for their annual meeting, and the WCPFC Secretariat had hosted side meetings of leaders, and a dinner reception for Pacific leaders and representatives of development partners who are all members of the Commission. Continued outreach by the Commission Chair and Executive Director to assist in the preparation for WCPFC13 was noted. The work program was delivered on time with intended objectives and outputs accomplished. The Commission was supported by four subsidiary bodies, SC, TCC, NC and the FAC, as well as three intersessional working groups, CDS-IWG, ERandEMWG and FADMgmtOptions-IWG. The Executive Director thanked the Chairs and Co-Chairs who drove the work in these bodies. The work plans for the four subsidiary bodies to be considered by WCPFC13 formed the bulk of the 2017 Commission work program. Work would also continue on the Compliance Monitoring Scheme (CMS) and strategic planning. The Executive Director noted a two-day workshop in 2016 had provided an opportunity for frank exchanges on key strategic objectives and priorities for the Commission; the draft Strategic Plan would be tabled during WCPFC13 for consideration and further guidance by the Commission. The Executive Director reported that the Commission’s financial affairs were in order, as tabled to FAC10. The Secretariat had added an IT officer to its staff. Contributions from USA for the special fund, Korea for tagging work, the Japan Trust Fund, and EU for supporting various scientific projects, were acknowledged, as was New Zealand’s intention to contribute to the Sustainable Management of Highly Migratory Fish Stocks in the West Pacific and East Asian Seas (WPEA-SM) project. NGO contributions were also acknowledged, including ISSF funding for an MSE workshop and NORMA’s continued funding for co-hosting Commission meetings in Pohnpei. The Executive Director recognised the work of the Commission’s Scientific Services Provider and data manager the Pacific Community – Oceanic Fisheries Programme (SPC-OFP), FFA as the Commission’s VMS provider and The International Scientific Committee for Tuna and Tuna-Like Species in the North Pacific Ocean (ISC) as the Scientific Services Provider for NC. The Executive Director noted the continued promotion of cooperation with other organisations, which is an obligation under the Convention. The Executive Director met with the heads of IOTC, IATTC, CCSBT and ICCAT while in Rome for FAO COFI meeting this year, and participated in the Regional Fishery Body Secretariats Network. It was noted that the Commission was successfully managing two major projects – the bycatch component of the ABNJ Common Oceans project, and the WPEA."
WCPFC13,18,The Commission accepted the 2016 Annual Report of the Executive Director (WCPFC13-2016-05).
WCPFC13,19,"Fiji expressed appreciation for the Executive Director’s efforts to revive quarterly reports and did not consider major meeting outcomes were required in these reports so much as information relating to intersessional issues and events. FFA members noted the large number of Commission-hosted meetings which continued to be demanding and costly. These CCMs suggested that the Commission revert to discussing substantive business in two meeting sessions, and hoped the Corporate Plan would help streamline and focus processes and Commission work.  WCPFC13 Summary Report (Issued 02-Mar-17) 6 of 361"
WCPFC13,20,"The Executive Director noted that the Secretariat follows the tasking of the Commission, the work program for which was decided by the Commission."
WCPFC13,21,Japan also noted the numerous RFMO meetings and suggested the Commission take care when considering scheduling more intersessional meetings.
WCPFC13,22,"EU noted its support for the Commission’s science and research priorities in 2017 and its financial support for a number of activities. This CCM considered research on FADs to be a top priority for the Commission. It was noted that a research plan for FADs had not yet been adopted, but the FADMgmtOptions-IWG had identified research priorities. AGENDA ITEM 3 — STATEMENTS FROM MEMBERS AND  PARTICIPATING TERRITORIES"
WCPFC13,23,"Ambassador for Pacific Economic Development, HE Shane Jones (New Zealand) noted the high priority New Zealand attaches to the management and development of the region’s fisheries, and noted the vital source of income and employment fisheries provide to the region. Effective management is critical to ensure sustainability into the future. The conservation and management measures (CMMs) adopted by the Commission go a long way towards supporting the objectives of Pacific Leaders. It was incumbent on Commission members to recognise the significance to SIDS of the region’s tuna resource, and to act accordingly and fairly. It is the role of the Commission to ensure the costs of conserving the tuna resource are fairly distributed – a key consideration as CCMs work towards new management arrangements for tropical tunas. The challenge is to see beyond individual positions to reach agreement on measures that consider the impact on all players and provide for mutually beneficial solutions. New Zealand looked forward to the progress that will be made this week by members dedicated to stronger and more effective management of this region’s valuable tuna resource."
WCPFC13,24,"The Hon. Alfred Alfred, Jr., Minister for Resources and Development (RMI) recalled that RMI led negotiations on CMM 2013-06 and CMM 2013-07, which are premised upon Article 30 of the Convention which safeguards the special requirements of SIDS. RMI continues to be concerned with proposals tabled by CCMs without direct consultations with SIDS, despite them being likely to have adverse impacts on the people and livelihoods of SIDS. At WCPFC13, RMI would highlight the importance of effectively operationalizing these two measures. RMI would also work to progress observer safety and operational data provision, to ensure that what has already been agreed is upheld and maintained with the highest standards of accountability and transparency. RMI would engage frankly and openly, taking into account the competing interests and polarizing positions that may potentially ensue over the course of the meeting."
WCPFC13,25,"The Minister for Fisheries, Semi Koroilavesau (Fiji) noted the need for engaging SIDS and avoiding disproportionate burden. Other issues important to Fiji to be discussed at WCPFC13 were mobula and manta rays bycatch reporting and control of vessels."
WCPFC13,26,"The Minister for Fisheries; Hon Mao Zeming (PNG) congratulated WCPFC for its bold and progressive management of the region’s fisheries resources, efforts that have gained recognition at the global level with the United Nations General Assembly resolution to commemorate World Tuna Day. PNG acknowledged the support of the Commission, PNA, SPC and FFA on the support provided towards achieving this. World Tuna Day puts Pacific Islands on the global stage, with the largest tuna resource in the world. Several key issues are evident in the WCPFC13 agenda, principally strengthening regional cooperation, streamlining the Commission’s focus on sustainable fisheries management and addressing the development aspirations of SIDS. A lack of prudent action on the WCPFC13 Summary Report (Issued 02-Mar-17) 7 of 361high seas and the disproportionate burden of conservation action hinder SIDS from maximizing their full potential in fisheries. PNG called on the Commission to ensure effective and appropriate mechanisms are developed to encourage members to comply with their obligations under measures adopted by the Commission, including the effective management of the high seas. Consistent with PNG’s 2014 National Strategy for meeting the UN Sustainability Goals, PNG is embracing a systematic approach to sustainability in which the economic, socio-political and environmental systems are embedded. It is now a national priority of the PNG Government, whereby principles of responsible sustainable development mean fully gaining from PNG’s natural resources and providing equal opportunities for future generations."
WCPFC13,27,"The Hon. Puakena Boreham, Minister for Natural Resources (Tuvalu) reminded the Commission of the critical importance of its decisions to a small island nation like Tuvalu. Tuvalu is possibly the most fishery-dependent nation on earth. Tuvalu holds deep concerns that the Commission develop fishery management arrangements that are effective and equitable. Tuvalu has been rigorously implementing the 4th month FAD closure, which has greatly reduced the profitability and attractiveness of fishing in Tuvalu waters, and compromised fishery revenues. But other WCPFC coastal states have failed to impose the FAD closure in their waters, and DWFN longliners did not deliver the bigeye catch reductions they committed to. Tuvalu remains committed to the goals of the Commission, but is also determined not to carry a disproportionate share of burden."
WCPFC13,28,"Solomon Islands believes the Commission needs to take strong action on the following critical issues: the Pacific bluefin tuna fishery; a measure to give greater protection to the health and safety of our observers; progress on the development of harvest strategies for all tuna species, especially skipjack tuna and South Pacific albacore; reform of the CMS, which is currently unfair to SIDS; progress on the bridging measures for tropical tunas and South Pacific albacore. Solomon Islands noted its commitment to constructively work with all members to achieve outcomes on these and other agenda items and re-affirmed its commitment to the Commission. Solomon Islands informed the Commission that it is implementing the longline VDS in its national waters from 1 January 2017, with key e- reporting and e-monitoring components. These developments will enhance compliance monitoring and data quality for science, and improve longline fisheries management as a whole. Solomon Islands looked forward to the day when the Commission implements compatible longline measures for the high seas."
WCPFC13,29,"American Samoa noted that its economy is highly dependent on sustainable fisheries in the Convention area, and is also vulnerable to the decisions of the Commission."
WCPFC13,30,"FSM wanted to see the adoption of the draft CMM on observer safety to ensure the protection of human lives, the Commission’s eyes and ears at sea. FSM acknowledged the Chair’s efforts on the bridging tropical tuna measure and was keen to see the harvest strategies work move forward. FSM noted the discussions regarding a review of the CMS, the objectives for which must be crafted in a way that clarifies that the CMS is positive and proactive. FSM wants to preserve the recognition of the chartering scheme in all measures where appropriate, while ensuring that the arrangement does not become a means for countries to evade their capacity limits. FSM considers there to be an urgent need for the Commission to ensure the sustainability of the Special Requirements Fund (SRF). Consideration of the SIDS’ limited capacity to look after the interest of their industries should be noted. FSM noted that Pacific leaders have called for action to end IUU fishing, calling on flag states to exercise more diligent efforts in carrying out flag state responsibilities and control of nationals. Small countries in the Pacific own the vast majority of the resources that come from the ocean in the Convention area and have much at stake as it is their most important natural resource. WCPFC13 Summary Report (Issued 02-Mar-17) 8 of 361"
WCPFC13,31,"The Philippines noted its commitment to ensuring the long-term sustainability of straddling and highly migratory fish stocks in the Commission area, consistent with its rights and obligations under UNCLOS, the UN Fish Stocks Agreement, and the WCPF Convention. Nationally, the Philippines’ Implementing Rules and Regulations of Republic Act 10654 or the Act to Deter, Eliminate, and Prevent Illegal, Unreported, and Unregulated Fishing became effective on October 2015. Philippines noted it was a developing state, facing many challenges. The Philippines’ compliance with measures is a work in progress but with an enhanced policy framework in place, Philippines is confident it will overcome the initial transition period with the support of the Commission and cooperation with other CCMs. The Philippines expressed appreciation for the Commission’s continued support through capacity building activities, progressively improving Philippines’s compliance, as reflected in the CMR process each year. The Philippines was pleased to inform the Commission that it will host the next Commission meeting, WCPFC14, in 2017. AGENDA ITEM 4 — MEMBERSHIP AND OTHER APPLICATIONS 4.1 Status of the Convention"
WCPFC13,32,"No new information had been provided from the depositary of the WCPFC Convention, New Zealand. The status of the Convention is outlined in WCPFC13-2016-06."
WCPFC13,33,The Commission noted the report on Status of Convention (WCPFC13-2016-06). 4.2 Update on Observer status
WCPFC13,34,"There was no discussion under this agenda item, however a lengthy exchange on observer participation took place under agenda item 15.2."
WCPFC13,35,The Commission noted the updated list of observers to the Commission (WCPFC13-2016-07). 4.3 Applications for Cooperating Non-Member status
WCPFC13,36,"The Commission considered applications for Cooperating Non-Member (CNM) status for 2017 in accordance with CMM 2009-11 (WCPFC13-2016-08). There were seven applications for CNM status. The Chair noted that one application had been provided with all requisite information (El Salvador), with others requiring further information: for Ecuador, the application was complete after TCC12 so no further information was requested; Liberia had provided the information requested by TCC12; and Vietnam had provided the required information. TCC12 had requested further information from Thailand on its historical fishing activities. Thailand had since confirmed it had no historical fishing activity to report. Panama’s Annual Report Part 1 was outstanding. Panama confirmed during discussions under this agenda item that an email from the Panamanian government had been sent on 2 December containing the required information, including the Annual Report Part 1. This was subsequently verified by the Secretariat during discussions. Mexico’s contribution was outstanding. While Mexico was not present at the commencement of WCPFC13, this matter was taken up by the Commission."
WCPFC13,37,"FFA members expressed that they continued to support a WCPFC decision that CNMs are to provide a contribution to the Commission; and participants need to share the costs of conservation and management of the fish stocks under the Commission’s purview. CNMs pay only 50% of the amount it would if it were a member. Mexico’s contribution was again outstanding, a matter which had been the subject of extensive discussion at the last two Commission meetings. FFA members stated they WCPFC13 Summary Report (Issued 02-Mar-17) 9 of 361would not agree to CNM status for any applicant with an outstanding financial contribution or who is unable to commit to making the contribution for the next year."
WCPFC13,38,"The Chair noted that after a similar situation last year, Mexico was able to make a payment during the meeting. It was agreed that the informal small working group would consider the applications for CNM status that had been approved (Ecuador, El Salvador, Liberia, Panama, Thailand, and Vietnam), but not Mexico’s, as it was not present."
